ID,Date,Block,"Primary Type",Description,"Location Description",Arrest,Domestic,District,Latitude,Longitude
9800785,"09/30/2014 12:00:00 AM","073XX N OTTAWA AVE",THEFT,"OVER $500",STREET,FALSE,FALSE,16,42.01398734,-87.817730228
9807619,"09/30/2014 12:00:00 AM","052XX S MAY ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",RESIDENCE,FALSE,FALSE,9,41.799298688,-87.653937823
9799720,"09/29/2014 11:55:00 PM","009XX W 115TH PL","CRIMINAL DAMAGE","TO PROPERTY","RESIDENTIAL YARD (FRONT/BACK)",FALSE,TRUE,5,41.684342119,-87.646062093
9799763,"09/29/2014 11:55:00 PM","074XX S MARYLAND AVE","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,3,41.760187604,-87.604330974
9799744,"09/29/2014 11:52:00 PM","035XX N ORANGE AVE",BATTERY,SIMPLE,RESIDENCE,TRUE,FALSE,16,41.944202572,-87.823968272
9799774,"09/29/2014 11:50:00 PM","040XX S CALIFORNIA AVE",NARCOTICS,"POSS: COCAINE",STREET,TRUE,FALSE,9,41.820664798,-87.694441847
9803482,"09/29/2014 11:45:00 PM","0000X E CERMAK RD",THEFT,"$500 AND UNDER","BAR OR TAVERN",FALSE,FALSE,1,41.852751458,-87.624404682
9799746,"09/29/2014 11:40:00 PM","008XX W MONTROSE AVE",BATTERY,SIMPLE,APARTMENT,TRUE,FALSE,19,41.961704877,-87.651928493
9799736,"09/29/2014 11:40:00 PM","078XX S EXCHANGE AVE",NARCOTICS,"POSSESSION OF DRUG EQUIPMENT",SIDEWALK,TRUE,FALSE,4,41.752949005,-87.553878612
9799786,"09/29/2014 11:40:00 PM","035XX S ARTESIAN AVE","CRIMINAL TRESPASS","TO LAND","OTHER RAILROAD PROP / TRAIN DEPOT",TRUE,FALSE,9,41.829014561,-87.686407735
9799739,"09/29/2014 11:38:00 PM","049XX W VAN BUREN ST",ASSAULT,"AGGRAVATED: HANDGUN",APARTMENT,FALSE,TRUE,15,41.875053726,-87.747527176
9799702,"09/29/2014 11:32:00 PM","021XX S KOSTNER AVE",NARCOTICS,"POSS: CRACK",SIDEWALK,TRUE,FALSE,10,41.851982301,-87.734667132
9812151,"09/29/2014 11:30:00 PM","031XX S WENTWORTH AVE","OTHER OFFENSE","HARASSMENT BY TELEPHONE",RESIDENCE,FALSE,TRUE,9,41.836816924,-87.631780348
9799712,"09/29/2014 11:30:00 PM","062XX S ARTESIAN AVE",NARCOTICS,"POSS: CRACK",ALLEY,TRUE,FALSE,8,41.780132234,-87.68473979
9799773,"09/29/2014 11:30:00 PM","076XX S PHILLIPS AVE",ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,4,41.755756115,-87.565242744
9799838,"09/29/2014 11:30:00 PM","021XX N LAWLER AVE",BURGLARY,"FORCIBLE ENTRY",RESIDENCE,FALSE,FALSE,25,41.919317266,-87.752174737
9799968,"09/29/2014 11:30:00 PM","020XX S CARPENTER ST","MOTOR VEHICLE THEFT",AUTOMOBILE,STREET,FALSE,FALSE,12,41.854622906,-87.652967213
9805143,"09/29/2014 11:30:00 PM","053XX W NORTH AVE",ROBBERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,25,41.90958056,-87.758137446
9816370,"09/29/2014 11:30:00 PM","005XX N MICHIGAN AVE",THEFT,"$500 AND UNDER",OTHER,FALSE,FALSE,18,41.892141811,-87.624314513
9799840,"09/29/2014 11:21:00 PM","038XX W CHICAGO AVE",BATTERY,"DOMESTIC BATTERY SIMPLE",ALLEY,FALSE,TRUE,11,41.895301703,-87.721392671
21580,"09/29/2014 11:20:00 PM","009XX S 935",HOMICIDE,"FIRST DEGREE MURDER",ALLEY,FALSE,FALSE,11,41.869545003,-87.719486893
9799738,"09/29/2014 11:17:00 PM","048XX W FLOURNOY ST",NARCOTICS,"POSS: HEROIN(WHITE)",STREET,TRUE,FALSE,15,41.872172415,-87.745409247
9799749,"09/29/2014 11:17:00 PM","082XX S MARYLAND AVE",ROBBERY,"VEHICULAR HIJACKING",STREET,FALSE,FALSE,6,41.74562669,-87.603953386
9799707,"09/29/2014 11:15:00 PM","084XX S MARQUETTE AVE",NARCOTICS,"FOUND SUSPECT NARCOTICS",RESIDENCE,TRUE,TRUE,4,41.742561195,-87.558654168
9799765,"09/29/2014 11:15:00 PM","069XX S PAXTON AVE",ASSAULT,"AGGRAVATED: HANDGUN",APARTMENT,FALSE,FALSE,3,41.769320635,-87.57134573
9799713,"09/29/2014 11:10:00 PM","009XX W 116TH PL",BATTERY,SIMPLE,STREET,TRUE,FALSE,5,41.682465878,-87.646210187
9799700,"09/29/2014 11:02:00 PM","045XX S WHIPPLE ST",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",STREET,TRUE,FALSE,9,41.811631643,-87.70057311
9801868,"09/29/2014 11:00:00 PM","044XX N ROCKWELL ST",THEFT,"$500 AND UNDER",STREET,FALSE,FALSE,19,41.961369043,-87.693722057
9799695,"09/29/2014 11:00:00 PM","038XX N LARAMIE AVE",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",STREET,TRUE,FALSE,16,41.950950674,-87.757221589
9799851,"09/29/2014 11:00:00 PM","039XX S WELLS ST",BURGLARY,"FORCIBLE ENTRY","GROCERY FOOD STORE",FALSE,FALSE,9,41.823350852,-87.63268682
9799878,"09/29/2014 11:00:00 PM","087XX W SUMMERDALE AVE","MOTOR VEHICLE THEFT","TRUCK, BUS, MOTOR HOME","DRIVEWAY - RESIDENTIAL",FALSE,FALSE,16,41.976089571,-87.845265066
9799920,"09/29/2014 11:00:00 PM","010XX N LEAMINGTON AVE","CRIMINAL DAMAGE","TO PROPERTY",APARTMENT,FALSE,FALSE,15,41.899840149,-87.754639797
9800023,"09/29/2014 11:00:00 PM","031XX N CENTRAL PARK AVE",THEFT,"$500 AND UNDER","RESIDENTIAL YARD (FRONT/BACK)",FALSE,FALSE,14,41.938130497,-87.717208719
9800084,"09/29/2014 11:00:00 PM","045XX S ELLIS AVE",THEFT,"OVER $500",STREET,FALSE,FALSE,2,41.811740838,-87.601597158
9800184,"09/29/2014 11:00:00 PM","041XX W NORTH AVE","CRIMINAL DAMAGE","TO PROPERTY",RESTAURANT,FALSE,FALSE,25,41.909734337,-87.729296779
9800247,"09/29/2014 11:00:00 PM","017XX N NEW ENGLAND AVE",THEFT,"$500 AND UNDER",STREET,FALSE,FALSE,25,41.91219668,-87.797454488
9799756,"09/29/2014 10:59:00 PM","043XX S STATE ST",BATTERY,"AGGRAVATED: HANDGUN",STREET,FALSE,FALSE,2,41.815460931,-87.626393487
9799740,"09/29/2014 10:55:00 PM","056XX W MADISON ST",THEFT,"$500 AND UNDER","CTA BUS",FALSE,FALSE,15,41.880353014,-87.765031472
9799779,"09/29/2014 10:54:00 PM","025XX S ALBANY AVE","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION",SIDEWALK,TRUE,FALSE,10,41.846180437,-87.702779874
9799697,"09/29/2014 10:50:00 PM","038XX N KEDZIE AVE",THEFT,"RETAIL THEFT","SMALL RETAIL STORE",FALSE,FALSE,17,41.950460251,-87.708068774
9799690,"09/29/2014 10:45:00 PM","008XX S LOOMIS ST","CRIMINAL DAMAGE","TO CITY OF CHICAGO PROPERTY","PARK PROPERTY",FALSE,FALSE,12,41.871663189,-87.661565347
9799814,"09/29/2014 10:37:00 PM","023XX W DICKENS AVE","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE",SIDEWALK,FALSE,FALSE,14,41.919022152,-87.685249578
9799809,"09/29/2014 10:35:00 PM","071XX S EAST END AVE",THEFT,"$500 AND UNDER",TAXICAB,FALSE,FALSE,3,41.765151648,-87.58379918
9799699,"09/29/2014 10:35:00 PM","053XX W JACKSON BLVD",BATTERY,"DOMESTIC BATTERY SIMPLE",APARTMENT,FALSE,TRUE,15,41.876511492,-87.757953052
9799853,"09/29/2014 10:30:00 PM","023XX N LAVERGNE AVE","MOTOR VEHICLE THEFT",AUTOMOBILE,STREET,FALSE,FALSE,25,41.923191919,-87.751051905
9799864,"09/29/2014 10:30:00 PM","076XX W GREGORY ST",THEFT,"$500 AND UNDER",STREET,FALSE,FALSE,16,41.980703886,-87.81854683
9799956,"09/29/2014 10:30:00 PM","009XX N LAWNDALE AVE",BATTERY,"DOMESTIC BATTERY SIMPLE",RESIDENCE,FALSE,TRUE,11,41.897942521,-87.718983607
9800146,"09/29/2014 10:30:00 PM","013XX N CENTRAL PARK AVE",THEFT,"$500 AND UNDER",STREET,FALSE,FALSE,14,41.905377082,-87.716502493
9800113,"09/29/2014 10:30:00 PM","049XX W AUGUSTA BLVD","OTHER OFFENSE","OTHER VEHICLE OFFENSE",STREET,FALSE,FALSE,15,41.898762225,-87.748790829
9799698,"09/29/2014 10:30:00 PM","052XX W WASHINGTON BLVD",BATTERY,"DOMESTIC BATTERY SIMPLE",APARTMENT,FALSE,TRUE,15,41.882236534,-87.756965276
9799719,"09/29/2014 10:30:00 PM","056XX S SHIELDS AVE","DECEPTIVE PRACTICE","THEFT OF LOST/MISLAID PROP",STREET,FALSE,FALSE,7,41.792488247,-87.633961804
9799771,"09/29/2014 10:30:00 PM","051XX S PRINCETON AVE",ASSAULT,"AGGRAVATED:KNIFE/CUTTING INSTR",STREET,FALSE,FALSE,9,41.80171614,-87.633325996
9799711,"09/29/2014 10:25:00 PM","011XX N HARDING AVE","CRIMINAL DAMAGE","TO PROPERTY","RESIDENTIAL YARD (FRONT/BACK)",TRUE,FALSE,11,41.901543088,-87.725193744
9799799,"09/29/2014 10:20:00 PM","086XX S ASHLAND AVE","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN",STREET,FALSE,FALSE,6,41.737428314,-87.663251892
9799677,"09/29/2014 10:15:00 PM","048XX W JACKSON BLVD",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS","RESIDENCE PORCH/HALLWAY",TRUE,FALSE,15,41.876885785,-87.745700193
9802448,"09/29/2014 10:15:00 PM","019XX N WESTERN AVE",THEFT,"$500 AND UNDER","CTA STATION",FALSE,FALSE,14,41.915848849,-87.687511887
9799708,"09/29/2014 10:14:00 PM","079XX S DAMEN AVE",BATTERY,"DOMESTIC BATTERY SIMPLE",RESIDENCE,TRUE,TRUE,6,41.749677556,-87.672971427
9799745,"09/29/2014 10:11:00 PM","044XX S OAKENWALD AVE",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",STREET,TRUE,FALSE,2,41.814760315,-87.595711772
9799667,"09/29/2014 10:10:00 PM","079XX S MARSHFIELD AVE","SEX OFFENSE","PUBLIC INDECENCY",SIDEWALK,TRUE,FALSE,6,41.75015443,-87.664794315
9799663,"09/29/2014 10:10:00 PM","059XX W WALTON ST",NARCOTICS,"POSS: HEROIN(WHITE)",ALLEY,TRUE,FALSE,15,41.897568816,-87.774208534
9799714,"09/29/2014 10:03:00 PM","036XX S WENTWORTH AVE",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS","PARKING LOT/GARAGE(NON.RESID.)",TRUE,FALSE,9,41.827823701,-87.631287822
9799696,"09/29/2014 10:00:00 PM","0000X W HUBBARD ST",THEFT,POCKET-PICKING,"BAR OR TAVERN",FALSE,FALSE,18,41.89015683,-87.6290742
9799801,"09/29/2014 10:00:00 PM","009XX E 77TH ST",ROBBERY,"ATTEMPT: STRONGARM-NO WEAPON",STREET,FALSE,FALSE,6,41.755074842,-87.602582015
9799805,"09/29/2014 10:00:00 PM","074XX S ELLIS AVE","CRIM SEXUAL ASSAULT",NON-AGGRAVATED,APARTMENT,FALSE,TRUE,3,41.759320006,-87.600386053
9799975,"09/29/2014 10:00:00 PM","021XX S ASHLAND AVE",THEFT,"$500 AND UNDER",APARTMENT,FALSE,FALSE,12,41.853971552,-87.66589828
9800010,"09/29/2014 10:00:00 PM","055XX W BELMONT AVE","CRIMINAL DAMAGE","TO PROPERTY","SMALL RETAIL STORE",FALSE,FALSE,16,41.938685679,-87.766377298
9800085,"09/29/2014 10:00:00 PM","037XX W ADDISON ST",BURGLARY,"FORCIBLE ENTRY",RESIDENCE-GARAGE,FALSE,FALSE,17,41.946342646,-87.721584837
9800238,"09/29/2014 10:00:00 PM","015XX W WEBSTER AVE",THEFT,"OVER $500",STREET,FALSE,FALSE,18,41.921695122,-87.667518907
9800347,"09/29/2014 10:00:00 PM","035XX W ARMITAGE AVE",THEFT,"$500 AND UNDER",STREET,FALSE,FALSE,14,41.917413014,-87.714920583
9800366,"09/29/2014 10:00:00 PM","023XX W LOGAN BLVD",THEFT,"FROM BUILDING",OTHER,FALSE,FALSE,14,41.930252284,-87.685870908
9800872,"09/29/2014 10:00:00 PM","023XX N LOCKWOOD AVE","CRIM SEXUAL ASSAULT",NON-AGGRAVATED,RESIDENCE-GARAGE,FALSE,FALSE,25,41.923183919,-87.758724473
9801873,"09/29/2014 10:00:00 PM","065XX N HARLEM AVE",STALKING,SIMPLE,RESIDENCE,FALSE,FALSE,16,42.000561691,-87.806617618
9802814,"09/29/2014 10:00:00 PM","009XX W BELLE PLAINE AVE","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL",FALSE,FALSE,19,41.956654922,-87.654140387
9803100,"09/29/2014 10:00:00 PM","006XX S CAMPBELL AVE","OTHER OFFENSE","OTHER CRIME INVOLVING PROPERTY",STREET,FALSE,TRUE,11,41.873244587,-87.688499056
9799678,"09/29/2014 09:55:00 PM","047XX W CHICAGO AVE",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",STREET,TRUE,FALSE,11,41.894913437,-87.744763648
9799803,"09/29/2014 09:51:00 PM","050XX S CHAMPLAIN AVE",BATTERY,SIMPLE,STREET,FALSE,FALSE,2,41.802281734,-87.609894627
9799668,"09/29/2014 09:45:00 PM","014XX E 69TH PL","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN",ALLEY,FALSE,FALSE,3,41.768633105,-87.590397272
9799694,"09/29/2014 09:40:00 PM","044XX W AINSLIE ST",BATTERY,"DOMESTIC BATTERY SIMPLE",APARTMENT,TRUE,TRUE,17,41.969816411,-87.74037164
9799816,"09/29/2014 09:40:00 PM","030XX W ROSEMONT AVE",THEFT,"OVER $500",STREET,FALSE,FALSE,24,41.995572042,-87.705523163
9799689,"09/29/2014 09:36:00 PM","077XX S WOOD ST",NARCOTICS,"MANU/DEL:CANNABIS OVER 10 GMS",APARTMENT,TRUE,FALSE,6,41.752396023,-87.668490829
9799909,"09/29/2014 09:35:00 PM","013XX N ADA ST","CRIMINAL DAMAGE","TO VEHICLE",STREET,FALSE,FALSE,14,41.906252874,-87.661783275
9799649,"09/29/2014 09:30:00 PM","066XX S PAULINA ST","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT",SIDEWALK,TRUE,FALSE,7,41.772739853,-87.6666531
9799661,"09/29/2014 09:30:00 PM","044XX W DIVERSEY AVE",NARCOTICS,"POSS: COCAINE",SIDEWALK,TRUE,FALSE,25,41.931522659,-87.739124124
9799669,"09/29/2014 09:30:00 PM","084XX S KOMENSKY AVE",BATTERY,"DOMESTIC BATTERY SIMPLE",RESIDENCE,FALSE,TRUE,8,41.738674679,-87.722925882
9799761,"09/29/2014 09:30:00 PM","013XX S FAIRFIELD AVE","CRIMINAL DAMAGE","TO VEHICLE",ALLEY,FALSE,FALSE,10,41.864356187,-87.694432914
9800664,"09/29/2014 09:30:00 PM","044XX N CLARK ST","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT",RESTAURANT,FALSE,FALSE,19,41.961799356,-87.666145586
9801670,"09/29/2014 09:30:00 PM","102XX S MORGAN ST",BATTERY,"DOMESTIC BATTERY SIMPLE","RESIDENTIAL YARD (FRONT/BACK)",FALSE,TRUE,22,41.708108869,-87.647581561
9799681,"09/29/2014 09:29:00 PM","0000X E 35TH ST","OTHER OFFENSE","PAROLE VIOLATION",STREET,TRUE,FALSE,2,41.831139885,-87.624320303
9799692,"09/29/2014 09:20:00 PM","011XX W 76TH ST",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",ALLEY,TRUE,FALSE,6,41.756075403,-87.653360343
9799686,"09/29/2014 09:20:00 PM","034XX N HALSTED ST",BATTERY,"AGGRAVATED: OTHER DANG WEAPON","BAR OR TAVERN",FALSE,FALSE,19,41.945365574,-87.649573539
9799636,"09/29/2014 09:16:00 PM","022XX W 21ST ST","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION",SIDEWALK,TRUE,FALSE,12,41.853791002,-87.682252616
9799842,"09/29/2014 09:15:00 PM","059XX S LOOMIS BLVD",ROBBERY,"ARMED: HANDGUN",TAXICAB,FALSE,FALSE,7,41.786631959,-87.659681702
9799643,"09/29/2014 09:15:00 PM","054XX W AUGUSTA BLVD",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",STREET,TRUE,FALSE,15,41.898646326,-87.761196146
9799676,"09/29/2014 09:10:00 PM","0000X S KEDZIE AVE",BATTERY,"AGGRAVATED:KNIFE/CUTTING INSTR",SIDEWALK,FALSE,FALSE,11,41.880564183,-87.705963512
9800381,"09/29/2014 09:05:00 PM","075XX S INGLESIDE AVE","CRIMINAL DAMAGE","TO PROPERTY",APARTMENT,FALSE,FALSE,6,41.758185036,-87.601861353
9800435,"09/29/2014 09:00:00 PM","006XX N MICHIGAN AVE",ASSAULT,SIMPLE,STREET,FALSE,FALSE,18,41.892633155,-87.624334789
9800819,"09/29/2014 09:00:00 PM","027XX E 86TH ST","MOTOR VEHICLE THEFT",AUTOMOBILE,STREET,FALSE,FALSE,4,41.739019595,-87.556813423
9805170,"09/29/2014 09:00:00 PM","039XX N RAVENSWOOD AVE",THEFT,"$500 AND UNDER",STREET,FALSE,FALSE,19,41.952836019,-87.673613658
9801190,"09/29/2014 09:00:00 PM","053XX S LAKE PARK AVE",ASSAULT,SIMPLE,"VEHICLE NON-COMMERCIAL",FALSE,TRUE,2,41.799410277,-87.587434309
9799679,"09/29/2014 09:00:00 PM","072XX S PAULINA ST",ASSAULT,"AGG PO HANDS NO/MIN INJURY",SIDEWALK,TRUE,FALSE,7,41.762427633,-87.666327344
9799680,"09/29/2014 09:00:00 PM","013XX W BELMONT AVE","CRIMINAL DAMAGE","TO VEHICLE",STREET,FALSE,FALSE,19,41.939898041,-87.662419083
9799688,"09/29/2014 09:00:00 PM","054XX W VAN BUREN ST",NARCOTICS,"POSS: CANNABIS 30GMS OR LESS",STREET,TRUE,FALSE,15,41.87466426,-87.761178762
9799710,"09/29/2014 09:00:00 PM","015XX N LUNA AVE","CRIMINAL DAMAGE","TO VEHICLE",STREET,FALSE,FALSE,25,41.90795879,-87.764764654
